City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Presidente Medici,BR,2020-02-19 17:40:50,-11.18,-61.9,89.51,66,70,2.77
211,Codrington,AU,2020-02-19 17:40:50,-38.27,141.97,58.26,73,100,14.92
212,Leh,IN,2020-02-19 17:40:50,34.17,77.58,10.58,95,100,3.36
213,Oranjestad,AW,2020-02-19 17:37:26,12.52,-70.03,84.2,74,40,21.92
214,Carnarvon,AU,2020-02-19 17:40:51,-24.87,113.63,78.8,78,100,4.7
215,Portland,US,2020-02-19 17:35:51,45.52,-122.68,48.99,52,1,13.87
216,Hobart,AU,2020-02-19 17:40:23,-42.88,147.33,55.4,71,90,8.05
217,Muros,ES,2020-02-19 17:40:51,42.78,-9.06,55.99,47,65,4.7
218,Muzhi,RU,2020-02-19 17:40:51,65.37,64.67,26.69,90,99,2.82
219,Taoudenni,ML,2020-02-19 17:40:51,22.68,-3.98,83.01,8,77,10.83
220,Ginir,ET,2020-02-19 17:40:52,7.13,40.7,65.7,52,9,2.21
221,Kirakira,SB,2020-02-19 17:40:52,-10.45,161.92,76.95,85,67,5.82
222,Kabac,PH,2020-02-19 17:40:52,11.24,123.7,78.71,82,96,25.55
223,Karlstad,SE,2020-02-19 17:39:05,59.38,13.5,35.6,74,0,1.12
224,Airai,TL,2020-02-19 17:40:53,-8.93,125.41,66.94,89,89,5.12
225,Arraial Do Cabo,BR,2020-02-19 17:39:48,-22.97,-42.03,89.6,58,81,14.99
226,At-Bashi,KG,2020-02-19 17:40:55,41.17,75.81,1.2,26,0,6.44
227,Zakamensk,RU,2020-02-19 17:40:55,50.37,103.29,7.88,91,100,2.39
228,Ansbach,DE,2020-02-19 17:40:55,49.3,10.58,41.0,74,90,11.41
229,Srednekolymsk,RU,2020-02-19 17:40:55,67.45,153.68,-21.89,100,78,5.59
230,Three Hills,CA,2020-02-19 17:40:56,51.7,-113.27,27.0,84,75,5.82
231,Amapa,BR,2020-02-19 17:40:56,1.0,-52.0,78.3,79,99,3.67
232,Mbini,GQ,2020-02-19 17:40:56,1.57,9.61,82.67,79,3,8.14
233,Negombo,LK,2020-02-19 17:40:56,7.21,79.84,80.6,65,20,10.29
234,Porto Novo,BJ,2020-02-19 17:40:56,6.5,2.6,86.0,79,20,12.75
235,Fairbanks,US,2020-02-19 17:40:57,64.84,-147.72,21.2,79,90,6.93
236,Bambous Virieux,MU,2020-02-19 17:40:57,-20.34,57.76,78.8,78,40,9.17
237,Vanderhoof,CA,2020-02-19 17:38:33,54.02,-124.02,19.4,85,69,2.84
238,Gornopravdinsk,RU,2020-02-19 17:40:57,60.05,69.9,32.22,97,100,10.0
239,Sambava,MG,2020-02-19 17:40:57,-14.27,50.17,73.92,97,54,1.57
240,Conceicao Do Araguaia,BR,2020-02-19 17:40:58,-8.26,-49.26,82.4,74,20,13.87
241,Rorvik,NO,2020-02-19 17:40:58,64.86,11.24,32.0,57,20,5.82
242,Kudahuvadhoo,MV,2020-02-19 17:40:58,2.67,72.89,82.27,78,24,17.9
243,Nombre De Dios,MX,2020-02-19 17:40:58,23.85,-104.23,73.0,30,5,5.82
244,Victoria,HK,2020-02-19 17:39:10,22.29,114.16,64.99,59,20,9.17
245,Kahului,US,2020-02-19 17:40:58,20.89,-156.47,71.6,78,1,14.99
246,Terrace Bay,CA,2020-02-19 17:36:37,48.78,-87.1,-2.2,58,75,8.05
247,Guerrero Negro,MX,2020-02-19 17:40:59,27.98,-114.06,65.37,61,70,10.74
248,Namanga,KE,2020-02-19 17:40:59,-2.54,36.79,72.39,75,1,12.71
249,Paris,FR,2020-02-19 17:36:26,48.85,2.35,46.99,93,75,4.7
250,Puerto Del Rosario,ES,2020-02-19 17:40:59,28.5,-13.86,69.8,68,20,21.92
251,Coihaique,CL,2020-02-19 17:40:59,-45.58,-72.07,59.0,41,20,10.29
252,Hamilton,US,2020-02-19 17:41:00,39.18,-84.53,41.0,69,1,8.05
253,Yeppoon,AU,2020-02-19 17:41:00,-23.13,150.73,77.0,83,34,2.42
254,Amuntai,ID,2020-02-19 17:41:00,-2.42,115.25,73.71,89,98,1.12
255,Roma,US,2020-02-19 17:39:06,43.21,-75.46,32.0,42,75,23.04
256,Baykit,RU,2020-02-19 17:41:01,61.67,96.37,6.66,96,99,3.22
257,Yaan,NG,2020-02-19 17:41:01,7.38,8.57,90.9,12,68,3.58
258,Orapa,BW,2020-02-19 17:41:01,-21.28,25.37,79.79,43,26,5.57
259,Melission,GR,2020-02-19 17:41:01,40.77,22.34,54.0,81,20,3.36
260,Rivadavia,AR,2020-02-19 17:41:01,-33.19,-68.46,84.2,28,0,6.93
261,Anloga,GH,2020-02-19 17:41:02,5.79,0.9,86.0,74,20,12.75
262,Belmonte,BR,2020-02-19 17:41:02,-15.86,-38.88,80.6,94,75,7.63
263,Okhotsk,RU,2020-02-19 17:41:02,59.38,143.3,-11.2,74,0,8.28
264,Dawson Creek,CA,2020-02-19 17:41:02,55.77,-120.24,15.8,84,1,4.7
265,Villa Maria,AR,2020-02-19 17:41:02,-32.41,-63.24,82.0,53,0,4.0
266,San Vicente,AR,2020-02-19 17:41:03,-26.62,-54.13,87.01,89,30,4.47
267,Katangli,RU,2020-02-19 17:41:03,51.71,143.23,-1.46,97,89,4.59
268,Honiara,SB,2020-02-19 17:41:03,-9.43,159.95,78.8,88,40,6.93
269,Vestmanna,FO,2020-02-19 17:41:03,62.16,-7.17,39.2,86,90,32.21
270,Bjornevatn,NO,2020-02-19 17:41:03,69.67,29.98,14.0,72,25,20.8
271,Aksum,ET,2020-02-19 17:41:05,14.12,38.72,67.33,42,77,9.48
272,Avarua,CK,2020-02-19 17:37:08,-21.21,-159.78,80.6,88,100,9.17
273,Ribas Do Rio Pardo,BR,2020-02-19 17:41:06,-20.44,-53.76,88.25,60,100,3.02
274,Nguruka,TZ,2020-02-19 17:41:06,-5.11,31.04,69.6,91,50,0.25
275,Ryotsu,JP,2020-02-19 17:41:08,38.08,138.43,41.0,93,75,2.24
276,Vostok,RU,2020-02-19 17:41:08,46.49,135.88,6.3,97,100,5.23
277,Champerico,GT,2020-02-19 17:41:08,14.3,-91.92,91.4,46,4,12.28
278,Artyom,AZ,2020-02-19 17:41:09,40.47,50.33,46.4,87,80,9.17
279,Viedma,AR,2020-02-19 17:37:28,-40.81,-63.0,68.41,31,4,24.32
280,Lasa,IT,2020-02-19 17:41:09,46.62,10.7,50.0,74,75,5.82
281,Russell,US,2020-02-19 17:39:27,32.35,-85.2,62.6,93,90,8.05
282,Mehran,IR,2020-02-19 17:39:03,33.12,46.16,59.0,41,90,16.11
283,Samarai,PG,2020-02-19 17:41:10,-10.62,150.67,77.72,78,61,3.31
284,Clyde River,CA,2020-02-19 17:41:10,70.47,-68.59,-20.2,75,75,5.82
285,Barkot,IN,2020-02-19 17:41:10,30.82,78.2,44.2,46,96,5.26
286,Bundaberg,AU,2020-02-19 17:41:11,-24.85,152.35,78.8,83,40,8.05
287,Masvingo,ZW,2020-02-19 17:41:11,-20.06,30.83,67.5,91,10,6.31
288,Mahebourg,MU,2020-02-19 17:41:11,-20.41,57.7,78.8,78,40,9.17
289,Kloulklubed,PW,2020-02-19 17:41:11,7.04,134.26,75.2,88,90,6.93
290,Itacarambi,BR,2020-02-19 17:41:11,-15.1,-44.09,84.69,59,0,4.92
291,Baruun-Urt,MN,2020-02-19 17:41:11,46.68,113.28,4.64,90,16,5.39
292,Sinnamary,GF,2020-02-19 17:41:12,5.38,-52.95,78.6,75,75,14.85
293,Hovd,MN,2020-02-19 17:36:53,48.01,91.64,9.61,48,100,6.29
294,Nanortalik,GL,2020-02-19 17:41:12,60.14,-45.24,22.68,70,0,33.08
295,Leningradskiy,RU,2020-02-19 17:41:12,69.38,178.42,-10.8,87,100,18.3
296,Whitianga,NZ,2020-02-19 17:41:13,-36.83,175.7,63.0,95,10,5.26
297,Praia,CV,2020-02-19 17:41:13,14.92,-23.51,74.16,69,6,14.43
298,Salinopolis,BR,2020-02-19 17:41:13,-0.61,-47.36,79.92,83,96,17.38
299,Yei,SS,2020-02-19 17:41:13,4.09,30.68,75.69,62,70,1.21
300,Mamallapuram,IN,2020-02-19 17:41:13,12.63,80.17,80.01,65,20,5.82
301,Labytnangi,RU,2020-02-19 17:41:14,66.66,66.42,25.05,85,99,5.88
302,Odienne,CI,2020-02-19 17:41:14,9.51,-7.57,94.91,12,1,4.97
303,Marzuq,YE,2020-02-19 17:41:14,14.4,46.47,67.42,60,1,6.08
304,Ongandjera,NA,2020-02-19 17:41:14,-17.88,15.07,87.44,25,83,5.84
